date,bloque,title,tema,sentiment_score
2026-03-17 20:33:49,Rusia_TASS,EU intends to have Hungary’s ban lifted at forthcoming summit,OTAN/UE,-0.5574
2026-03-17 20:33:49,Rusia_TASS,"Kiev seeks to further upend oil markets, create utter chaos globally — senator",Comercio/Petroleo,-0.4391
2026-03-17 20:33:49,Rusia_TASS,Rubio orders US diplomats to influence other nations to take action against Iran — TV,Conflicto Medio Oriente,0.0
2026-03-17 20:33:49,Rusia_TASS,"Szijjarto scoffs at EU, Zelensky for playing dumb about Druzhba pipe",OTAN/UE,-0.3612
2026-03-17 20:33:49,Rusia_TASS,Trump allies fear loss of control over situation around Iran,Conflicto Medio Oriente,-0.6705
2026-03-17 20:33:49,Rusia_TASS,FIFA hopes to see Iranian national team playing at 2026 World Cup,Conflicto Medio Oriente,0.5574
2026-03-17 20:33:49,Rusia_TASS,EU should return Russian oil to Europe — Szijjarto,Comercio/Petroleo,0.0
2026-03-17 20:33:49,Rusia_TASS,Euro exchange rate exceeds 95 rubles on interbank market first since January,OTAN/UE,0.0
2026-03-17 20:33:49,Rusia_TASS,EU provides Ukraine with full terms for joining union,OTAN/UE,0.0
2026-03-17 20:33:49,Rusia_TASS,Eurasian Development Bank projects oil prices in $75-85 per barrel range in 2026,Comercio/Petroleo,0.0
2026-03-17 20:33:49,Rusia_TASS,Putin pardons 23 women — Human Rights Council head,General,0.296
2026-03-17 20:33:49,Rusia_TASS,US intelligence warned of risk of Iran striking Arab countries — Reuters,Conflicto Medio Oriente,-0.0258
2026-03-17 20:33:49,Rusia_TASS,White House launched operation in Iran without clear strategy — NYT,Conflicto Medio Oriente,-0.1739
2026-03-17 20:33:49,Rusia_TASS,Iran in talks with FIFA on relocating team's 2026 World Cup matches from US to Mexico,Conflicto Medio Oriente,0.0
2026-03-17 20:33:49,Rusia_TASS,EU to unveil Russian oil ban plan on April 15 — Szijjarto,Comercio/Petroleo,-0.5574
2026-03-17 20:33:49,Rusia_TASS,NATO to hardly provide US with military aid in operation against Iran — former assistant,Conflicto Medio Oriente,0.0
2026-03-17 20:33:49,Rusia_TASS,"If Iran war drags on till June, 45 million people could face starvation — UN",Conflicto Medio Oriente,-0.6808
2026-03-17 20:33:49,Rusia_TASS,Goal of US-Israel operation in Iran remains unclear — EU Council chief,Conflicto Medio Oriente,-0.25
2026-03-17 20:33:49,Rusia_TASS,Trump postpones visit to China due to lack of strong negotiating position — expert,General,-0.0258
2026-03-17 20:33:49,Rusia_TASS,Europe needs time to start asking for Russian gas again — Dmitriev,OTAN/UE,0.0
2026-03-17 20:33:49,Rusia_TASS,EU-US relations once again on brink of collapse over Middle East situation — newspaper,OTAN/UE,-0.4939
2026-03-17 20:33:49,Rusia_TASS,Iranian envoy denies reports that new supreme leader undergoing treatment in Russia,Conflicto Medio Oriente,0.2023
2026-03-17 20:33:49,Rusia_TASS,"UK, EU no longer hide their anti-Trump sentiments — Russian envoy",OTAN/UE,-0.1734
2026-03-17 20:33:49,Rusia_TASS,Trump naive to believe he could choose Iran’s supreme leader — ambassador to Russia,Conflicto Medio Oriente,0.3612
2026-03-17 20:33:49,Rusia_TASS,EU offers Kiev funds to repair Druzhba oil pipeline,Comercio/Petroleo,0.0
2026-03-17 20:33:49,Rusia_TASS,Iran delivers new strikes against enemy targets — news agency,Conflicto Medio Oriente,-0.7184
2026-03-17 20:33:49,Rusia_TASS,No disruption in Iran’s oil exports after US strikes on Kharg Island — Iranian parliament,Comercio/Petroleo,-0.1002
2026-03-17 20:33:49,Rusia_TASS,Martial law in Strait of Hormuz prevents US from supplying its bases — Iranian ambassador,Conflicto Medio Oriente,0.0772
2026-03-17 20:33:49,Rusia_TASS,Letter by top Iranian security official claimed dead by Israel emerges on social media,Conflicto Medio Oriente,-0.2732
2026-03-17 20:33:49,Rusia_TASS,Regional war with Iran will not diminish importance of global conflict in Ukraine — expert,Conflicto Medio Oriente,-0.8079
2026-03-17 20:33:49,Rusia_TASS,Kiev is dragging out conflict with Russia as it may have share of EU profits — MP,OTAN/UE,0.4215
2026-03-17 20:33:49,Rusia_TASS,Press review: Tehran pursues attrition as Trump delays China visit amid Iran tensions,Conflicto Medio Oriente,-0.4019
2026-03-17 20:33:49,Rusia_TASS,"Trump wanted Iranian military to bow to him, but this scenario failed — ambassador",Conflicto Medio Oriente,-0.6652
2026-03-17 20:33:49,Rusia_TASS,Iranian lawmaker threatens to turn Kharg Island into 'invaders’ cemetery',Conflicto Medio Oriente,-0.3818
2026-03-17 20:33:49,Rusia_TASS,Euro exchange rate on Forex exceeds 94 rubles first since January,OTAN/UE,0.0
2026-03-17 20:49:56,Occidente_USA,"Top US counterterrorism official resigns over Iran war, urging Trump to 'reverse course'",Conflicto Medio Oriente,-0.6597
2026-03-17 20:49:56,Occidente_USA,Israel says it killed Iranian security chief Ali Larijani in air strike,Conflicto Medio Oriente,-0.5574
2026-03-17 20:49:56,Occidente_USA,Water supply cut in Moldova after oil spill blamed on Russian strike in Ukraine,Comercio/Petroleo,-0.6908
2026-03-17 20:49:56,Occidente_USA,Trump seeks to delay meeting with Xi in China,General,-0.3182
2026-03-17 20:49:56,Occidente_USA,What have US allies and China said about sending ships to the Strait of Hormuz?,General,0.0
2026-03-17 20:49:56,Occidente_USA,Surge in US gas prices deepens political peril for Trump over Iran,Conflicto Medio Oriente,-0.4019
2026-03-17 20:49:56,Occidente_USA,Gas on the line: will the Iran war squeeze India's piped gas next?,Conflicto Medio Oriente,-0.5994
2026-03-17 20:49:56,Occidente_USA,Wary allies show there's no quick fix to Trump's Iran crisis,Conflicto Medio Oriente,-0.743
2026-03-17 20:49:56,Occidente_USA,"'My mother cried out one last time': Palestinian boy, 12, describes how Israeli forces killed his family in car",Conflicto Medio Oriente,-0.7964
2026-03-17 20:49:56,Occidente_USA,"Iran taking steps to prevent anti-establishment protests, Tehran residents tell BBC",Conflicto Medio Oriente,-0.2023
2026-03-17 20:49:56,Occidente_USA,Why did only two Iranian football players stay in Australia?,Conflicto Medio Oriente,0.0
2026-03-17 20:49:56,Occidente_USA,Watch: Reunion resident gets close to lava from erupting volcano,OTAN/UE,0.0
2026-03-17 20:49:56,OrienteMedio_Qatar,Trump says it’s a ‘good thing’ counterterrorism director resigned over Iran,Conflicto Medio Oriente,-0.25
2026-03-17 20:49:56,OrienteMedio_Qatar,"Starmer, Zelenskyy urge ‘focus’ on Ukraine as Iran war diverts attention",Conflicto Medio Oriente,-0.5994
2026-03-17 20:49:56,OrienteMedio_Qatar,Video: Man rescued from under rubble after attack in Iran,Conflicto Medio Oriente,-0.0772
2026-03-17 20:49:56,OrienteMedio_Qatar,"Israel carrying out ‘mass expulsion of Palestinians’ in West Bank, UN warns",Conflicto Medio Oriente,-0.1027
2026-03-17 20:49:56,OrienteMedio_Qatar,Why Iranians are taking to Tehran’s streets during war,Conflicto Medio Oriente,-0.5994
2026-03-17 20:49:56,OrienteMedio_Qatar,Video: What we know about Israel’s assault on southern Lebanon,Conflicto Medio Oriente,-0.5859
2026-03-17 20:49:56,OrienteMedio_Qatar,What the Iran war looks like from the occupied West Bank,Conflicto Medio Oriente,-0.34
